codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03083,7553,570,318,299,44,7,17,135,5,20,19,4,2,73,66,175,32,2,11,86,4,3,2,1
03084,751,56,46,46,1,8,0,33,0,0,0,0,0,4,4,6,0,2,0,4,0,0,0,0
03085,1001,657,645,634,114,16,0,401,0,8,11,0,1,2,1,10,0,2,2,0,0,0,0,0
03086,187,35,34,34,0,0,0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03088,6497,824,327,311,12,13,9,149,10,51,16,6,0,193,38,299,2,142,20,115,2,5,3,0
03089,12923,1181,619,581,41,8,16,280,9,14,38,10,12,34,20,474,10,177,38,203,7,54,16,0
03090,20364,2152,1604,1443,139,231,112,493,30,47,161,14,84,157,112,378,84,17,48,81,2,12,3,1
03091,574,284,265,261,15,4,0,214,13,3,4,0,0,1,1,18,0,0,0,7,0,0,0,0
03092,8611,487,242,237,1,14,4,109,47,20,5,0,5,125,118,112,13,16,9,27,7,8,6,0
03093,26525,2095,733,642,22,33,43,77,14,307,91,24,60,316,50,1023,22,109,80,745,15,23,22,0
03094,15519,6725,5832,5150,1001,173,106,1842,79,97,682,106,25,189,86,651,102,37,58,312,11,47,22,6
03095,6217,941,478,372,53,15,18,93,12,90,106,25,56,197,171,251,18,21,90,53,5,15,9,0
03096,7622,530,301,291,15,3,14,99,26,95,10,3,3,35,31,164,47,21,8,31,0,30,7,0
03097,2503,1318,1250,1217,190,21,6,849,23,41,33,0,1,15,13,46,4,1,7,27,0,6,0,1
03098,758,233,216,211,42,17,4,93,1,1,5,2,0,4,4,12,5,1,3,0,0,1,0,0
03099,80468,29758,24813,22283,2742,181,186,14203,961,491,2530,286,571,1476,785,3054,142,745,666,1190,20,410,277,5
03100,1061,410,398,393,38,38,0,235,4,10,5,0,3,8,7,3,1,0,1,0,0,1,0,0
03101,7097,1694,1419,1317,335,33,14,661,9,42,102,7,2,114,87,148,62,0,25,38,5,10,3,3
03102,10878,2038,1702,1472,311,69,14,655,68,126,230,8,46,128,125,184,10,1,23,122,1,21,19,3
03103,330,12,6,6,0,0,0,6,0,0,0,0,0,2,0,4,0,3,0,0,0,0,0,0
03104,33486,1198,301,232,13,28,39,38,4,61,69,10,10,70,24,759,39,10,441,110,9,68,55,0
03105,7442,871,543,445,7,12,8,366,23,10,98,0,91,50,46,264,17,16,29,147,0,14,5,0
03106,803,90,86,83,0,8,0,48,0,22,3,0,0,0,0,4,0,3,0,1,0,0,0,0
03107,3869,1344,1059,970,88,87,19,509,3,89,89,4,9,84,46,196,20,8,3,127,1,5,0,0
03109,3901,559,115,97,0,2,1,18,2,49,18,2,12,329,321,115,6,4,20,82,0,0,0,0
03110,635,296,281,260,51,5,0,176,0,1,21,0,0,7,7,8,0,0,2,0,0,0,0,0
03111,6982,773,236,228,5,23,10,37,40,34,8,1,5,283,223,252,8,98,52,51,0,2,0,0
03112,1090,370,352,344,6,6,4,248,5,28,8,0,0,8,3,9,2,0,2,2,0,1,0,0
03113,17543,12587,11944,10594,1335,92,80,7134,174,33,1350,165,46,259,237,283,19,1,17,188,0,100,85,1
03114,2467,547,485,485,12,8,5,374,3,4,0,0,0,4,1,55,0,1,5,39,0,1,0,2
03115,457,154,122,122,10,9,1,86,0,5,0,0,0,31,28,1,0,0,0,1,0,0,0,0
03116,1522,215,193,192,20,12,3,118,18,1,1,0,0,2,1,20,0,0,9,6,0,0,0,0
03117,727,230,205,182,45,2,1,111,0,5,23,0,0,16,16,9,0,1,1,4,2,0,0,0
03118,10583,8031,7640,7363,1280,91,43,5311,9,54,277,23,37,262,235,100,23,4,6,41,1,28,25,1
03119,20997,2509,1236,1093,104,214,238,153,34,75,143,26,48,134,107,1090,272,70,204,183,21,48,24,1
03120,7625,4794,4511,4234,710,24,13,3033,94,23,277,33,37,131,65,125,19,8,11,63,0,26,18,1
03121,29221,6707,5444,4820,245,385,178,2826,134,153,624,137,84,224,117,895,200,21,318,67,4,144,114,0
03122,49341,3096,1271,969,83,138,186,70,85,197,302,79,71,364,149,1300,276,61,258,291,46,160,101,1
03123,9716,787,584,554,36,17,15,415,22,7,30,2,12,13,9,178,15,28,43,72,0,12,9,0
03124,639,87,79,75,24,1,2,35,0,0,4,0,0,3,2,5,0,0,4,0,0,0,0,0
03125,658,264,186,183,30,8,4,89,1,28,3,0,0,69,67,9,0,0,5,0,2,0,0,0
03127,758,278,262,255,31,36,2,84,0,7,7,2,0,1,1,14,3,1,0,7,0,1,0,0
03128,13281,8400,7383,6988,1693,176,78,3372,280,129,395,25,14,270,253,661,86,69,318,71,6,84,51,2
03129,1625,280,267,262,45,10,3,116,0,20,5,1,1,2,0,9,4,0,3,0,0,2,2,0
03130,65,10,9,9,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03131,339,142,135,130,24,2,0,97,0,0,5,0,0,5,5,2,0,0,0,2,0,0,0,0
03132,745,120,117,112,33,7,2,23,0,15,5,0,0,0,0,3,0,1,1,0,0,0,0,0
03133,94006,47779,35172,27498,3447,488,881,11636,1440,1469,7674,2516,2048,3414,2530,8181,962,82,2355,1713,81,1004,612,8
03134,191,18,17,16,0,1,3,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
03135,297,28,26,24,3,9,0,11,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0
03136,672,107,81,81,8,6,2,48,2,7,0,0,0,0,0,26,3,6,6,10,0,0,0,0
03137,937,138,124,119,11,4,1,73,0,11,5,0,0,10,5,4,0,0,0,0,0,0,0,0
03138,4688,992,637,593,166,20,14,75,27,199,44,14,14,175,132,166,23,8,59,47,1,14,10,0
03139,30550,5563,3915,3401,282,185,225,996,205,712,514,117,87,624,551,965,222,30,190,230,19,56,26,3
03140,34523,2590,683,606,15,20,20,159,194,155,77,7,31,525,447,1292,22,15,460,654,3,87,75,3
03901,3078,1886,1814,1547,898,41,25,374,7,20,267,9,6,9,9,53,6,3,28,2,6,10,2,0
03902,20338,9111,6836,6141,984,60,46,3910,49,377,695,79,137,1079,1071,1061,37,39,56,827,8,135,105,0
03903,4284,1374,1287,1210,38,12,14,804,207,60,77,4,46,36,24,44,10,0,25,4,0,7,7,0
03904,1561,107,70,69,2,2,6,36,7,2,1,0,1,11,7,26,2,4,4,9,0,0,0,0
