codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03061,1956,1270,686,553,528,8,1,1,0,0,0,454,6,25,0,3,114,5,107,0,0,14,0,1,0,8,3,0,0,0,0,0,0,1,4,3,0,1
03062,770,241,529,521,515,19,1,2,2,2,5,376,0,6,1,0,0,0,0,0,0,7,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1
03063,44450,32007,12443,9336,7920,2467,591,472,428,106,95,1533,1134,1416,315,377,675,70,550,14,12,2089,264,77,60,606,79,59,521,34,19,34,137,101,340,151,34,3
03064,7314,6137,1177,518,483,21,8,12,1,1,2,317,33,35,13,7,553,12,539,0,1,103,3,0,8,10,5,48,22,0,0,0,1,0,3,0,3,0
03065,230224,203306,26918,11150,10045,443,549,504,759,160,210,1104,5416,1105,337,231,6974,1100,4196,353,352,6638,685,240,211,1773,208,146,1610,941,133,81,233,157,2154,1917,95,2
03066,54056,51010,3046,1068,838,27,29,42,69,75,22,45,457,230,42,133,487,130,302,10,23,1270,92,66,27,593,44,10,228,49,30,24,11,47,221,101,71,0
03067,101,99,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,51,45,6,6,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,7095,3491,3604,3191,2797,134,101,159,97,30,50,1341,281,394,199,53,125,31,92,1,0,232,49,2,27,30,25,26,24,2,4,4,11,12,56,24,11,0
03077,3041,1640,1401,1381,1369,118,12,13,6,3,0,831,12,12,2,1,3,0,3,0,0,14,2,4,1,2,0,0,0,0,0,0,0,4,0,0,0,3
03070,4629,2506,2123,1678,1605,31,119,28,14,12,17,1175,46,73,24,16,316,18,295,0,0,107,6,5,7,10,1,3,64,0,0,0,7,1,22,10,5,0
03072,446,382,64,61,59,2,0,0,0,0,0,48,2,2,1,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03071,6270,4821,1449,903,875,54,17,12,18,9,1,588,75,28,23,2,326,2,321,1,0,196,94,0,2,49,0,4,29,0,0,0,12,1,23,13,8,1
03073,264,248,16,16,16,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03074,2437,2087,350,84,67,2,12,6,3,1,1,4,30,17,0,13,179,0,179,0,0,87,1,10,2,7,1,3,50,4,0,1,8,0,0,0,0,0
03076,16957,10173,6784,5963,4734,591,395,97,154,41,46,2268,231,1229,478,294,353,21,309,2,15,283,69,9,31,39,11,22,24,13,4,11,22,6,185,141,11,0
03078,1217,580,637,625,621,35,1,7,4,1,0,499,3,4,0,0,2,0,1,1,0,9,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0
03079,23634,21951,1683,707,686,17,38,9,42,3,3,14,545,21,8,10,65,27,29,1,2,772,57,59,9,49,13,9,481,23,2,4,14,3,139,47,82,0
03080,2038,1579,459,390,367,9,7,8,2,19,0,259,22,23,9,14,56,5,50,0,0,12,0,5,0,4,1,0,2,0,0,0,0,0,1,0,0,0
03082,33149,15126,18023,15442,14565,2226,188,567,288,122,43,8858,266,877,162,95,743,16,711,2,1,1384,144,20,40,499,22,13,252,7,16,8,104,181,439,125,211,15
03083,7366,6719,647,409,382,46,10,17,24,9,1,154,44,27,2,10,132,9,123,0,0,102,9,17,4,9,5,7,41,0,7,0,1,2,4,3,1,0
03085,1091,324,767,749,737,115,0,10,0,0,0,501,12,12,0,0,8,0,7,0,0,9,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
03084,710,649,61,61,61,1,0,8,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03086,215,157,58,58,56,0,0,0,0,0,0,48,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7807,6705,1102,567,540,12,11,24,25,10,9,283,107,27,10,1,206,150,56,0,0,310,2,114,8,19,4,1,141,4,1,2,2,4,18,8,6,1
03089,12720,11573,1147,676,640,34,9,13,26,154,3,313,26,36,6,11,32,11,17,0,0,394,12,106,3,33,7,5,188,2,7,0,1,10,45,16,27,0
03903,5043,3066,1977,1805,1669,54,172,16,16,20,4,1161,51,136,30,54,70,13,53,2,0,64,11,3,5,25,3,3,0,0,5,0,2,4,37,19,1,1
03091,604,286,318,310,306,16,22,7,1,0,0,235,2,4,0,0,2,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03092,9062,8337,725,268,261,2,67,11,3,3,7,117,28,7,3,4,346,3,325,0,7,83,10,5,6,8,9,3,19,2,8,0,2,2,28,7,12,0
03090,23707,21263,2444,1599,1397,129,41,220,150,28,33,365,127,202,31,116,348,202,134,1,4,436,84,21,26,82,13,11,47,56,7,10,17,38,56,26,1,5
03093,26517,24234,2283,1011,896,20,40,26,32,72,28,69,570,115,24,80,411,320,89,0,0,787,17,70,6,56,18,6,557,11,16,0,11,10,73,41,9,1
03094,19524,11245,8279,7229,6323,1069,107,219,152,44,43,2283,262,906,193,46,336,147,111,0,70,620,131,20,28,64,29,25,208,11,10,10,26,17,89,58,5,5
03095,6613,5468,1145,611,506,79,26,26,24,6,7,89,163,105,30,56,282,19,242,0,18,222,13,20,9,81,5,13,37,5,2,7,16,4,30,14,3,0
03096,7544,7034,510,267,254,11,22,9,27,1,1,56,97,13,4,2,81,1,80,0,0,146,35,16,4,6,0,2,32,3,1,4,41,2,16,1,13,0
03097,2570,1148,1422,1379,1339,201,22,21,7,3,0,936,29,40,1,1,18,0,6,1,0,17,1,2,0,0,0,0,6,0,0,0,0,0,6,0,1,2
03099,91260,52238,39022,33749,30346,3040,1768,221,299,454,110,18834,1212,3403,990,574,2340,797,1325,37,21,2240,123,495,91,411,36,17,804,31,28,29,55,35,690,394,36,3
03098,916,572,344,316,312,52,1,14,3,2,0,159,6,4,1,0,15,0,13,0,0,12,0,0,1,6,0,1,1,0,0,0,1,0,1,0,0,0
03100,1104,601,503,492,484,35,7,38,1,0,0,311,19,8,3,3,6,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
03101,7757,5684,2073,1667,1548,348,11,48,37,4,3,758,64,119,22,7,206,27,174,1,2,185,53,1,7,32,7,7,37,0,16,1,9,4,15,7,6,0
03102,10957,8653,2304,1990,1746,320,113,84,30,50,17,753,177,244,9,54,164,7,154,0,0,117,7,7,3,12,2,15,57,1,1,1,1,2,33,18,10,0
03103,321,292,29,14,14,0,0,0,0,0,1,8,1,0,0,0,2,0,0,0,1,11,0,9,1,0,0,0,1,0,0,0,0,0,2,0,2,0
