codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03068,45,40,5,5,5,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,7103,4170,2933,2296,1656,54,84,82,132,30,42,531,215,640,416,117,207,78,120,1,1,330,95,13,28,55,20,8,12,2,4,10,8,45,98,31,8,2
03070,4268,2623,1645,1249,1166,18,53,28,17,29,5,759,42,83,22,22,308,33,271,0,0,74,10,2,14,8,2,1,27,0,0,3,3,4,14,1,0,0
03071,6243,4851,1392,664,615,40,4,28,27,14,2,350,33,49,28,10,395,0,388,0,5,300,98,0,0,137,1,2,14,0,0,0,24,11,31,9,17,2
03072,479,436,43,43,43,2,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,241,232,9,8,8,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03074,2591,2153,438,69,58,0,14,4,2,2,0,3,18,11,0,9,294,6,288,0,0,72,1,1,2,32,3,3,18,6,0,0,4,0,3,1,1,0
03075,224,169,55,52,48,3,3,4,4,0,0,21,0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
03076,15849,10740,5109,4103,2788,164,335,95,140,45,25,1100,214,1315,653,454,441,55,329,0,42,348,58,3,62,66,22,21,18,12,5,8,25,17,217,137,9,0
03077,2606,1631,975,940,933,64,9,14,6,1,0,504,9,7,0,1,4,1,2,0,0,19,2,0,1,5,0,3,5,0,0,0,0,1,11,5,0,1
03078,1242,584,658,639,629,25,1,14,6,1,0,459,6,10,4,1,1,0,0,0,0,8,0,3,0,2,1,0,1,0,0,1,0,0,8,0,0,2
03079,23564,22143,1421,677,650,7,24,11,42,5,9,26,515,27,9,12,119,46,53,1,3,477,53,24,9,74,21,7,145,20,16,6,16,19,146,51,89,2
03080,1998,1601,397,327,294,6,5,9,2,35,0,188,13,33,10,14,47,5,41,0,0,22,2,3,3,6,3,0,0,0,0,0,0,1,1,0,0,0
03081,2868,1792,1076,880,852,57,10,22,17,1,5,521,16,28,7,9,114,0,113,0,0,67,7,6,1,12,0,19,1,2,0,2,1,3,10,1,0,5
03082,28016,15782,12234,8739,7953,754,86,414,258,111,26,4616,195,786,297,149,979,15,905,2,11,1903,97,25,43,805,26,11,120,11,17,7,92,492,585,136,251,28
03083,6879,6436,443,186,165,24,3,12,26,0,0,52,19,21,7,10,147,26,118,0,2,96,16,9,6,16,4,2,25,1,2,0,4,2,13,9,3,1
03084,582,544,38,31,29,1,0,5,0,0,0,20,2,2,0,0,1,0,1,0,0,6,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
03085,830,329,501,488,477,43,0,9,5,2,0,285,5,11,4,0,3,0,3,0,0,10,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
03086,240,181,59,58,55,0,0,0,1,0,0,49,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03088,8346,7428,918,354,308,6,4,27,29,12,3,93,91,46,18,7,273,186,77,0,9,264,5,63,13,42,3,1,83,6,0,6,10,5,27,21,4,0
03089,12212,11399,813,476,442,15,12,15,25,49,1,244,24,34,4,16,55,17,35,0,0,242,6,45,6,54,16,2,80,2,10,2,0,5,39,10,12,1
03090,25645,22759,2886,1739,1480,87,53,250,227,44,33,303,136,259,77,121,435,243,176,1,3,618,111,12,49,143,17,4,31,58,14,13,11,115,83,45,2,11
03091,507,279,228,213,211,4,15,5,0,0,0,156,0,2,0,0,0,0,0,0,0,15,0,1,0,11,0,0,2,0,0,0,0,0,0,0,0,0
03092,9315,8255,1060,239,229,6,54,14,3,3,6,92,17,10,2,4,719,5,683,0,12,71,6,3,11,10,9,0,7,2,9,1,2,4,28,9,9,3
03093,25741,23709,2032,895,792,7,40,21,30,44,23,50,547,103,38,50,532,387,131,4,3,521,21,45,21,67,17,11,251,14,12,7,6,27,82,45,12,2
03094,18163,12593,5570,4480,3772,424,109,173,189,58,36,1136,346,708,228,101,405,202,127,0,68,509,96,13,28,87,37,15,94,17,17,8,15,32,172,71,30,4
03095,7076,5896,1180,577,461,64,30,24,32,6,5,91,139,116,33,57,247,16,217,0,11,296,18,17,19,118,12,7,20,6,1,5,15,44,59,43,3,1
03096,7600,6994,606,301,279,5,16,12,26,1,1,63,116,22,8,7,141,2,139,0,0,149,27,11,5,30,7,0,10,4,8,4,31,10,15,3,8,0
03097,2232,1265,967,905,880,84,19,20,5,9,0,625,25,25,3,1,31,0,26,1,0,19,0,0,1,0,0,2,4,0,1,0,0,2,11,4,0,1
03098,784,638,146,124,117,10,0,11,4,1,1,54,9,7,3,0,12,0,12,0,0,8,0,0,1,4,0,0,0,0,0,1,0,1,2,0,0,0
