codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03013,1530,1379,151,83,81,5,0,6,1,17,0,35,10,2,0,0,49,13,36,0,0,14,1,1,0,1,2,0,4,0,0,0,0,2,5,0,4,0
03014,334418,273402,61016,18488,14743,1344,1256,3308,977,656,492,939,3636,3745,1267,977,12349,3874,5443,702,872,27856,6809,1396,871,6314,932,536,4849,1244,847,638,1186,1245,2272,1089,219,51
03015,19598,15429,4169,1981,1612,65,38,145,12,14,34,979,108,369,109,177,1574,16,1546,4,0,560,59,16,31,207,14,23,112,2,4,10,40,28,54,31,3,0
03016,132,106,26,25,25,0,0,0,0,0,0,23,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,494,447,47,15,15,0,0,2,0,0,0,12,1,0,0,0,31,1,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03018,24006,14440,9566,7258,6094,868,292,309,89,70,40,1409,1019,1164,425,74,470,112,284,1,19,1624,503,70,71,171,72,47,379,13,27,37,98,42,206,71,27,8
03019,20360,18393,1967,1079,953,38,13,123,23,12,15,416,173,126,25,74,200,71,121,0,1,654,103,16,14,118,2,14,329,10,2,5,9,9,34,20,3,0
03020,156,125,31,30,29,2,0,2,0,0,0,24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7229,6896,333,78,71,2,17,8,2,2,3,13,20,7,0,1,65,1,57,0,3,131,14,1,2,25,8,0,71,0,3,2,0,3,59,11,47,0
03022,171,159,12,8,8,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
03023,1820,1665,155,105,104,2,74,5,2,0,2,16,3,1,0,0,3,1,2,0,0,47,1,7,0,4,2,0,32,0,0,0,1,0,0,0,0,0
03024,5474,4758,716,458,420,6,80,78,6,31,6,100,72,38,3,27,184,5,154,0,1,70,8,6,4,22,4,0,18,1,1,0,1,1,4,3,0,0
03025,1892,1440,452,394,374,125,3,44,4,12,0,131,1,20,3,9,15,0,15,0,0,41,12,0,0,10,4,0,8,0,2,0,2,2,2,0,0,0
03026,1888,1422,466,303,278,71,10,27,2,0,3,110,11,25,3,4,32,7,22,0,1,127,21,0,7,69,1,4,15,0,1,0,2,2,4,1,0,0
03027,230,156,74,69,69,0,0,2,0,0,0,17,45,0,0,0,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1317,1194,123,74,72,1,23,9,0,0,0,14,8,2,2,0,28,1,8,0,6,21,2,0,0,0,1,0,7,1,3,0,0,0,0,0,0,0
03029,580,260,320,276,274,20,0,5,0,0,0,231,8,2,0,0,9,9,0,0,0,35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03030,1261,623,638,586,569,115,3,18,8,6,0,362,7,17,0,0,23,2,18,0,0,28,9,1,0,0,2,12,0,0,0,0,0,0,1,0,0,0
03031,71198,46117,25081,15132,13728,510,1122,627,410,240,219,5411,2933,1404,459,399,1914,630,1144,19,12,5866,1259,164,220,1161,384,259,1282,89,159,167,339,190,2151,835,880,18
03032,114,113,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,199,152,47,40,36,9,0,5,0,0,0,12,2,4,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
