codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03102,10957,8465,2492,2053,1809,324,107,201,15,51,21,728,160,244,11,50,156,17,134,0,0,244,21,8,4,17,3,15,130,1,4,0,5,19,39,15,0,0
03103,321,289,32,14,14,0,0,0,0,0,1,8,1,0,0,0,2,0,0,0,1,12,0,9,1,0,0,0,1,0,0,0,0,0,4,2,2,0
03104,34757,32949,1808,575,453,46,7,125,41,10,22,43,115,122,11,20,118,45,54,3,4,980,97,17,23,478,46,18,117,43,17,3,23,73,135,72,31,0
03902,23670,12529,11141,8387,7684,1167,62,147,57,32,30,4639,673,703,100,122,1507,11,1483,2,0,1084,60,35,21,89,19,14,733,9,19,20,32,6,161,98,5,2
03105,7874,6586,1288,900,816,5,43,17,5,9,4,628,48,84,3,71,101,22,74,1,0,259,15,21,3,35,16,0,123,3,0,9,15,2,28,11,15,0
03106,817,692,125,114,110,5,0,6,0,0,2,59,23,4,0,0,3,0,2,0,0,5,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,1
03901,3402,1282,2120,1978,1704,889,9,87,18,25,11,430,28,274,23,5,40,19,16,0,1,78,17,3,3,25,2,2,3,0,5,0,7,1,23,9,0,1
03107,4688,2806,1882,1393,1217,91,15,69,16,10,14,648,112,176,50,6,182,69,72,0,27,286,57,11,7,18,36,6,99,1,5,7,11,12,18,1,0,3
03060,117,109,8,6,4,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03109,4170,3548,622,199,175,5,7,47,2,6,18,27,49,24,2,15,294,7,285,0,0,124,4,6,5,26,8,1,70,0,2,0,0,1,5,4,0,0
03110,719,340,379,348,316,63,0,13,0,0,0,211,0,32,1,4,3,0,1,0,0,25,2,0,3,3,0,3,7,0,2,0,0,3,3,1,0,0
03111,7672,6505,1167,369,336,19,30,117,6,30,15,40,45,33,4,13,522,145,373,1,0,261,11,83,7,73,6,1,48,3,1,11,6,4,15,6,7,0
03112,1330,753,577,555,549,14,6,9,4,4,3,386,43,6,5,0,8,6,1,0,0,12,1,0,1,1,0,1,0,1,0,0,2,5,2,0,0,0
03113,21686,5171,16515,15587,13563,1631,190,161,79,37,11,8910,52,2024,384,53,360,32,305,5,0,287,35,4,13,38,12,19,116,2,8,6,2,7,277,114,3,4
03114,2474,1909,565,482,473,7,3,10,4,16,0,322,4,9,1,1,8,5,0,0,0,70,0,5,0,7,1,0,45,4,0,0,7,0,3,1,0,2
03115,432,277,155,137,136,15,0,5,1,0,0,100,1,1,0,0,15,6,9,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
03116,1586,1337,249,216,208,18,30,22,0,2,2,114,7,8,0,0,1,1,0,0,0,31,5,0,2,11,1,1,7,0,1,0,0,3,1,0,0,0
03118,12688,2915,9773,9089,8716,1421,22,118,52,40,19,6182,107,373,41,37,369,96,239,5,1,181,33,2,13,12,14,7,37,3,11,6,7,5,129,50,5,5
03904,1901,1659,242,140,132,2,18,18,3,3,1,49,24,8,2,1,40,1,28,0,1,62,11,3,7,14,3,2,12,1,3,0,2,0,0,0,0,0
03120,7012,2935,4077,3734,3485,514,71,41,11,11,2,2446,33,249,49,45,135,31,82,5,8,144,24,9,3,11,2,8,53,0,0,1,6,13,63,28,5,1
03122,55781,50306,5475,1880,1493,179,102,401,99,48,57,98,274,387,105,68,821,272,425,7,22,2430,559,56,148,443,66,94,369,63,100,50,157,156,339,169,29,5
03117,664,434,230,216,196,59,4,9,0,1,0,98,4,20,0,0,1,0,0,0,0,13,4,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0
03119,23026,19125,3901,1641,1380,167,74,379,86,65,18,173,152,261,46,86,371,98,233,2,2,1754,591,47,76,274,67,26,193,90,38,16,132,117,124,56,8,11
03121,34134,24601,9533,7061,6137,360,164,477,168,77,60,3401,243,924,217,103,595,205,242,0,98,1582,449,25,63,384,90,41,77,34,29,26,152,127,292,134,23,3
03123,10091,9006,1085,830,798,49,43,67,17,5,12,547,16,32,6,17,27,2,19,1,0,198,29,16,6,59,2,0,54,4,0,2,3,18,29,13,2,1
03124,615,521,94,87,83,27,0,9,2,0,0,33,0,4,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03125,661,412,249,190,187,34,4,9,1,1,1,96,15,3,0,0,38,3,33,0,0,19,6,0,2,6,0,0,1,0,0,1,1,0,2,0,0,0
03127,797,445,352,319,310,34,0,28,3,0,0,107,8,9,1,1,14,13,0,0,0,18,2,0,0,4,0,0,8,0,1,0,0,0,1,0,0,0
03128,14452,4952,9500,8214,7748,1648,383,225,77,54,10,3826,231,466,80,17,327,38,264,0,6,777,139,65,15,329,12,14,62,4,13,22,25,27,179,91,10,3
03129,1757,1374,383,328,319,58,0,7,1,3,0,152,30,9,1,1,9,3,3,0,0,41,15,0,1,12,1,0,0,0,0,1,5,3,5,0,0,0
03130,38,33,5,4,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,386,197,189,179,177,23,0,1,0,0,0,137,0,2,0,0,7,2,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
03132,770,591,179,161,148,45,0,6,1,0,0,30,17,13,1,1,3,0,2,0,0,12,0,0,1,2,0,0,3,5,0,0,0,0,2,0,0,1
03133,105205,46787,58418,42936,33464,4198,2635,826,592,652,416,12728,2413,9472,4101,1922,4460,742,2846,150,425,8961,1314,78,650,2456,496,874,1301,116,209,174,685,303,2035,759,172,26
03134,177,154,23,21,13,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03136,609,502,107,85,84,7,0,11,0,0,1,40,22,1,0,0,3,2,1,0,0,18,2,4,0,5,0,0,5,0,0,0,0,0,1,0,0,0
03137,942,739,203,169,161,25,0,12,1,0,0,85,14,8,1,1,18,9,6,0,1,15,3,0,1,0,1,1,0,1,2,0,0,0,0,0,0,1
03135,281,235,46,35,34,4,0,13,1,0,0,13,0,1,0,0,6,4,1,0,0,5,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0
03138,4856,3736,1120,798,735,229,21,78,10,19,6,95,214,63,15,17,135,18,108,0,8,136,23,12,7,25,8,0,35,1,4,3,6,7,51,34,7,0
03139,33834,26350,7484,4433,3510,194,279,290,111,104,55,693,1140,923,410,191,1277,299,933,10,9,1548,380,46,71,304,112,39,313,19,34,22,81,67,216,66,70,10
03140,34834,31754,3080,1045,925,36,265,114,19,20,16,191,228,120,18,25,618,32,539,2,2,1300,43,11,16,443,23,5,577,24,21,19,5,78,117,74,16,0
03081,3323,1678,1645,1416,1391,161,14,51,9,5,0,954,22,25,0,2,101,9,90,0,0,107,53,10,1,12,5,9,5,0,3,0,0,3,20,8,0,1
