codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03119,21681,18156,3525,1374,1182,159,55,338,59,56,20,166,103,192,29,62,306,63,205,3,1,1762,637,90,77,240,48,27,184,72,42,9,139,125,79,24,3,4
03120,8056,2911,5145,4784,4498,711,98,32,12,12,3,3249,34,286,35,34,142,59,61,1,6,163,25,10,5,19,9,9,68,0,1,3,3,1,55,23,1,1
03121,30987,22662,8325,6211,5495,302,154,442,143,63,52,3111,230,716,157,84,500,171,232,2,69,1427,406,23,55,343,96,40,67,40,15,21,142,92,186,123,4,1
03122,51507,46726,4781,1754,1367,167,96,416,77,29,52,88,247,387,91,75,673,208,337,19,14,2155,555,69,65,356,49,130,334,43,87,39,167,130,197,112,3,2
03123,9908,8894,1014,716,684,50,36,62,13,13,8,463,8,32,5,11,55,5,46,0,0,229,22,34,8,60,1,0,75,0,1,1,0,23,14,10,1,0
03124,646,538,108,97,93,29,0,12,3,0,0,40,0,4,0,0,6,1,2,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
03125,645,381,264,199,196,32,4,10,1,0,0,94,29,3,0,0,54,3,51,0,0,10,1,1,1,6,0,0,0,0,0,1,0,0,1,0,0,0
03127,772,463,309,272,259,28,0,27,2,0,0,80,10,13,3,1,14,11,2,0,0,23,7,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0
03128,14236,4835,9401,8024,7613,1765,368,199,63,47,16,3697,191,411,39,12,320,31,263,0,5,929,171,103,22,370,9,24,85,0,17,16,32,25,127,64,1,1
03129,1677,1342,335,291,282,61,0,8,1,3,0,123,24,9,1,1,8,3,3,0,0,28,12,0,0,7,2,0,0,0,0,0,3,2,8,3,0,0
03130,65,54,11,10,10,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,375,206,169,153,151,23,0,1,0,0,0,119,0,2,0,0,10,3,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0
03132,758,596,162,148,134,46,0,7,2,0,0,24,16,14,0,0,1,0,0,0,0,10,0,0,1,3,2,0,2,0,0,0,0,1,2,0,0,1
03133,101381,45597,55784,38572,30076,3909,2040,777,516,543,382,12221,1977,8496,2849,2178,4245,521,2940,136,286,11518,1599,123,1577,2816,449,1069,1845,167,206,157,932,276,1426,684,101,23
03134,186,166,20,18,15,0,0,3,1,0,0,11,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03135,299,255,44,32,30,3,0,12,0,0,1,11,1,2,0,0,7,4,2,0,0,5,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
03136,671,545,126,98,96,9,1,11,0,0,0,58,10,2,1,0,2,1,1,0,0,26,4,7,0,6,0,0,8,0,0,0,0,0,0,0,0,0
03137,997,793,204,160,154,16,0,9,1,0,0,90,17,6,0,0,23,9,7,0,0,21,6,0,1,0,1,2,0,2,3,0,0,0,0,0,0,0
03138,4847,3644,1203,786,724,198,26,63,8,20,6,86,248,62,15,16,208,39,144,1,22,187,35,8,9,65,0,2,42,0,4,4,11,4,22,15,1,0
03139,32534,25332,7202,4791,4153,321,292,284,133,163,62,1103,1053,638,153,116,907,94,783,5,2,1393,390,48,92,239,82,34,242,17,36,17,92,52,108,39,17,3
03140,34928,31793,3135,969,862,34,245,120,18,19,8,185,198,107,12,34,598,33,521,0,2,1467,43,30,14,503,17,8,671,16,13,13,8,95,101,86,0,0
03901,3267,1207,2060,1930,1640,892,8,62,16,25,6,425,35,290,9,6,32,20,10,0,0,72,19,3,1,23,2,1,2,0,5,0,6,1,26,11,0,0
03902,21424,11413,10011,7580,6858,1054,55,136,44,29,25,4266,520,722,80,134,1114,9,1096,1,0,1183,55,67,34,66,10,9,843,8,11,15,34,13,132,88,3,2
03903,4736,2957,1779,1653,1562,53,253,24,9,19,2,1028,70,91,4,53,36,12,22,1,0,72,20,1,2,22,0,2,6,2,3,1,4,3,17,10,1,1
03904,1708,1538,170,103,97,3,7,19,4,1,0,44,4,6,0,1,16,1,8,0,1,51,6,5,1,8,5,2,12,2,3,1,1,2,0,0,0,0
