codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03046,3207,2053,1154,988,516,97,5,129,17,15,2,417,16,472,16,5,30,10,11,0,3,113,24,0,2,26,13,5,1,2,1,2,11,2,20,3,0,3
03047,23530,11512,12018,8143,5021,924,165,446,178,160,39,1694,1163,3122,696,311,1352,121,919,3,268,2083,370,66,51,1008,106,18,53,17,43,33,76,158,438,174,52,2
03048,7589,5529,2060,752,576,37,38,34,7,5,5,104,382,176,25,19,250,117,126,0,2,1037,92,235,17,85,11,11,518,1,9,1,8,29,18,5,11,3
03049,19273,14995,4278,920,604,16,44,412,10,5,5,70,70,316,20,134,2792,69,2706,7,1,523,19,44,9,77,16,1,283,15,5,10,22,7,43,15,20,0
03050,29013,22133,6880,3607,2198,194,37,749,189,62,43,789,267,1409,334,106,871,529,273,4,10,2137,655,25,122,315,109,40,87,63,70,41,150,261,248,76,21,17
03051,429,405,24,19,18,0,13,2,0,0,0,1,0,1,0,0,2,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
03052,1191,1128,63,41,25,4,14,3,0,0,0,3,4,16,0,13,8,0,8,0,0,13,3,0,0,7,0,0,1,0,0,0,0,2,1,0,1,0
03053,10752,9200,1552,744,245,18,14,77,20,6,3,426,28,499,25,27,269,33,231,0,1,462,89,19,23,46,16,16,120,7,4,7,28,34,76,23,25,1
03054,425,344,81,66,27,3,0,8,0,0,0,38,1,39,1,0,8,5,1,0,0,7,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
03055,8880,6677,2203,1445,537,36,12,150,13,13,7,845,41,908,8,12,507,15,479,0,0,196,18,5,11,39,7,8,36,4,6,3,7,31,55,33,2,0
03056,11451,10010,1441,333,150,7,8,44,7,4,3,123,36,183,16,29,863,18,825,1,5,197,27,4,7,36,10,5,30,0,21,6,3,15,45,25,14,3
03057,271,209,62,34,23,1,0,6,0,1,0,7,6,11,2,0,10,1,7,0,1,15,1,4,0,3,1,0,1,0,0,0,0,1,2,0,2,1
03058,7427,6040,1387,378,275,7,25,169,1,0,3,20,46,103,0,72,624,3,617,0,0,369,10,4,10,28,1,0,263,7,2,3,21,6,16,11,4,0
