codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03129,1625,300,264,259,46,10,0,117,0,21,5,1,1,9,4,20,7,0,5,0,0,7,3,0
03130,65,6,6,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,339,144,134,130,24,1,0,98,0,0,4,0,0,8,5,2,0,0,0,2,0,0,0,0
03132,745,150,141,129,46,7,2,22,0,15,12,0,0,1,0,6,0,0,2,0,0,1,0,1
03133,94006,49408,34424,26762,3636,718,451,11354,1416,1419,7662,2470,1985,3616,2539,10147,1487,107,2598,1731,156,1197,562,24
03134,191,21,18,15,0,3,1,11,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1
03135,297,37,26,24,3,10,0,10,0,0,2,0,0,8,2,3,0,2,0,0,0,0,0,0
03136,672,115,84,82,6,12,0,48,2,7,2,1,0,2,1,28,5,6,6,10,0,1,0,0
03137,937,167,129,123,13,7,1,72,0,11,6,0,0,20,5,18,3,0,0,0,3,0,0,0
03138,4688,1077,686,628,175,58,7,76,28,195,58,17,14,184,129,192,36,8,62,47,1,15,10,0
03139,30550,5954,3896,3376,304,260,113,1000,201,701,520,114,77,738,643,1242,366,29,201,243,29,74,26,4
03140,34523,2758,805,702,32,118,14,161,185,146,103,9,30,512,430,1353,45,15,462,629,9,86,71,2
03901,3078,1931,1813,1530,878,52,17,371,7,23,283,11,4,25,11,75,16,3,31,2,7,18,2,0
03902,20338,9192,6945,6250,1031,135,41,3900,49,370,695,81,130,1029,1016,1084,58,41,62,798,9,132,97,2
03903,4284,1403,1299,1215,45,22,9,787,204,55,84,7,45,35,23,57,15,0,23,6,0,12,7,0
03904,1561,138,89,84,3,17,4,35,7,2,5,0,1,15,8,34,6,4,4,9,0,0,0,0
