codine,T2002,T2003,T2004,T2005,T2006,T2007,T2008,T2009,T2010,T2011,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03040,17,21,36,46,72,91,83,74,77,75,80,87,79,73,55,51,61,67,61,52,8.75,-1.25,-8.75,-31.25,-36.25,-23.75,-16.25,-29.8850574712644,-34.1772151898734,8.75,-9.19540229885058,-7.59493670886076,-24.6575342465753,-7.27272727272727,19.6078431372549,9.8360655737705,-8.95522388059702,-14.7540983606557
03041,908,1168,1068,1224,1444,1545,1710,1755,1838,1887,1941,1943,1228,1227,962,915,844,866,881,954,0.103039670273049,-36.7336424523441,-36.7851622874807,-50.4379185986605,-52.8593508500773,-56.5172591447707,-55.3838227717671,-54.6577457539887,-22.3127035830619,0.103039670273049,-36.7987647967061,-0.081433224755699,-21.5973920130399,-4.88565488565489,-7.75956284153006,2.60663507109005,1.73210161662817,8.28603859250852
03042,697,902,1033,1284,1576,1838,2090,2166,2214,2257,2311,2313,1629,1631,1177,1117,1194,1176,1238,1237,0.0865426222414527,-29.5110341843358,-29.4244915620943,-49.0696668109044,-51.665945478148,-48.334054521852,-49.1129381220251,-46.4764375270212,-24.0638428483732,0.0865426222414527,-29.5719844357977,0.122774708410063,-27.835683629675,-5.09770603228547,6.89346463742166,-1.50753768844221,5.27210884353741,-0.080775444264944
03043,0,0,2,7,7,14,29,33,31,37,36,34,27,25,20,23,27,26,23,24,-5.55555555555556,-25,-30.5555555555556,-44.4444444444444,-36.1111111111111,-25,-27.7777777777778,-32.3529411764706,-11.1111111111111,-5.55555555555556,-20.5882352941177,-7.40740740740741,-20,15,17.3913043478261,-3.70370370370371,-11.5384615384615,4.34782608695652
03044,9,23,36,145,219,258,272,283,277,283,277,195,249,233,216,154,176,167,178,180,-29.6028880866426,-10.1083032490975,-15.884476534296,-22.0216606498195,-44.4043321299639,-36.4620938628159,-39.7111913357401,-8.71794871794872,-27.710843373494,-29.6028880866426,27.6923076923077,-6.42570281124497,-7.29613733905579,-28.7037037037037,14.2857142857143,-5.11363636363636,6.58682634730539,1.12359550561797
03045,47,44,49,73,76,80,86,99,110,112,110,109,98,94,93,90,90,89,89,87,-0.909090909090907,-10.9090909090909,-14.5454545454545,-15.4545454545455,-18.1818181818182,-18.1818181818182,-19.0909090909091,-18.348623853211,-11.2244897959184,-0.909090909090907,-10.0917431192661,-4.08163265306122,-1.06382978723404,-3.2258064516129,0,-1.11111111111111,0,-2.24719101123596
03046,122,201,294,481,592,656,733,776,791,798,800,790,608,558,483,432,411,407,414,422,-1.25,-24,-30.25,-39.625,-46,-48.625,-49.125,-47.5949367088608,-30.5921052631579,-1.25,-23.0379746835443,-8.22368421052632,-13.4408602150538,-10.5590062111801,-4.86111111111111,-0.973236009732361,1.71990171990171,1.93236714975845
03047,2469,2920,3146,3527,3848,4143,4375,4416,4462,4334,4285,4236,2317,2071,1191,1538,1617,1670,1656,1772,-1.14352392065344,-45.9276546091015,-51.6686114352392,-72.2053675612602,-64.1073512252042,-62.2637106184364,-61.0268378063011,-60.9065155807365,-23.5217954251187,-1.14352392065344,-45.3021718602455,-10.617177384549,-42.4915499758571,29.1351805205709,5.13654096228869,3.27767470624613,-0.838323353293418,7.0048309178744
03048,182,188,148,188,224,232,242,251,247,251,254,143,158,116,91,86,85,83,109,102,-43.7007874015748,-37.7952755905512,-54.3307086614173,-64.1732283464567,-66.1417322834646,-66.5354330708661,-67.3228346456693,-23.7762237762238,-35.4430379746835,-43.7007874015748,10.4895104895105,-26.5822784810127,-21.551724137931,-5.49450549450549,-1.16279069767442,-2.35294117647059,31.3253012048193,-6.42201834862385
03049,1,9,23,39,53,91,95,114,121,108,110,93,89,93,85,60,48,55,65,73,-15.4545454545455,-19.0909090909091,-15.4545454545455,-22.7272727272727,-45.4545454545455,-56.3636363636364,-50,-30.1075268817204,-17.9775280898876,-15.4545454545455,-4.3010752688172,4.49438202247191,-8.60215053763442,-29.4117647058823,-20,14.5833333333333,18.1818181818182,12.3076923076923
03050,540,697,734,954,1118,1228,1289,1328,1321,1301,1255,1279,792,801,750,722,664,690,740,781,1.91235059760956,-36.8924302788845,-36.1752988047809,-40.2390438247012,-42.4701195219124,-47.0916334661355,-45.0199203187251,-42.1422986708366,-1.38888888888889,1.91235059760956,-38.0766223612197,1.13636363636364,-6.36704119850187,-3.73333333333333,-8.03324099722991,3.91566265060241,7.2463768115942,5.54054054054055
03051,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,5,1,1,1,0,200,200,100,300,400,0,0,-66.6666666666667,0,200,0,-33.3333333333333,100,25,-80,0,0
03052,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,0,-100,100,100,100,100,100,100,#¡DIV/0!,0,-100,#¡DIV/0!,0,0,0,0,0,0
03053,15,29,121,439,634,822,952,1022,1071,1087,1101,1108,733,611,482,404,397,394,415,430,0.635785649409627,-33.4241598546776,-44.5049954586739,-56.2216167120799,-63.3060853769301,-63.9418710263397,-64.2143505903724,-62.5451263537906,-41.3369713506139,0.635785649409627,-33.8447653429603,-16.643929058663,-21.1129296235679,-16.1825726141079,-1.73267326732673,-0.755667506297229,5.32994923857868,3.6144578313253
03054,0,14,23,33,41,50,53,57,60,69,65,71,42,40,40,41,45,47,46,40,9.23076923076923,-35.3846153846154,-38.4615384615385,-38.4615384615385,-36.9230769230769,-30.7692307692308,-27.6923076923077,-35.2112676056338,-4.76190476190476,9.23076923076923,-40.8450704225352,-4.76190476190476,0,2.5,9.7560975609756,4.44444444444444,-2.12765957446808,-13.0434782608696
03055,7,25,76,364,945,1277,1433,1479,1522,1520,1503,959,879,890,792,850,847,787,878,872,-36.1942781104458,-41.5169660678643,-40.7850964737192,-47.3053892215569,-43.4464404524285,-43.6460412508317,-47.6380572188955,-8.44629822732013,-0.796359499431176,-36.1942781104458,-8.34202294056308,1.2514220705347,-11.0112359550562,7.32323232323232,-0.352941176470594,-7.08382526564344,11.5628970775095,-0.683371298405461
03056,35,41,52,76,138,194,232,226,248,249,250,209,171,133,123,115,110,106,109,121,-16.4,-31.6,-46.8,-50.8,-54,-56,-57.6,-47.8468899521531,-29.2397660818713,-16.4,-18.1818181818182,-22.2222222222222,-7.5187969924812,-6.5040650406504,-4.34782608695652,-3.63636363636364,2.83018867924528,11.0091743119266
03057,2,14,13,11,11,16,16,18,18,22,23,4,1,3,8,10,10,8,11,8,-82.6086956521739,-95.6521739130435,-86.9565217391304,-65.2173913043478,-56.5217391304348,-56.5217391304348,-65.2173913043478,175,700,-82.6086956521739,-75,200,166.666666666667,25,0,-20,37.5,-27.2727272727273
03058,1,9,10,12,11,13,11,31,36,38,39,35,37,37,26,29,27,27,25,21,-10.2564102564103,-5.12820512820512,-5.12820512820512,-33.3333333333333,-25.6410256410256,-30.7692307692308,-30.7692307692308,-28.5714285714286,-43.2432432432432,-10.2564102564103,5.71428571428571,0,-29.7297297297297,11.5384615384615,-6.89655172413794,0,-7.40740740740741,-16
03059,59,118,214,316,383,427,478,479,443,322,310,323,325,321,336,343,369,387,380,448,4.19354838709677,4.83870967741936,3.54838709677419,8.38709677419355,10.6451612903226,19.0322580645161,24.8387096774194,17.6470588235294,37.8461538461538,4.19354838709677,0.619195046439629,-1.23076923076923,4.67289719626169,2.08333333333333,7.5801749271137,4.8780487804878,-1.80878552971576,17.8947368421053
