codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03076,256,412,500,771,1280,1822,2120,2217,2261,2298,2321,2268,1542,1476,1386,990,992,1057,1100,1201,2.28,-33.56,-36.41,-40.28,-57.35,-57.26,-54.46,-51.5,-22.11,-2.28,-32.01,-4.28,-6.1,-28.57,0.2,6.55,4.07,9.18
03077,42,84,182,342,417,537,710,797,833,837,833,831,578,535,487,459,456,498,504,493,0.24,-30.61,-35.77,-41.54,-44.9,-45.26,-40.22,-39.35,-14.71,-0.24,-30.45,-7.44,-8.97,-5.75,-0.65,9.21,1.2,-2.18
03078,9,63,217,372,456,513,492,514,503,521,523,499,396,441,424,381,384,426,459,474,4.59,-24.28,-15.68,-18.93,-27.15,-26.58,-18.55,-8.02,19.7,-4.59,-20.64,11.36,-3.85,-10.14,0.79,10.94,7.75,3.27
03079,2,8,14,17,17,17,16,17,10,10,12,14,13,13,18,19,14,14,26,25,-16.67,8.33,8.33,50,58.33,16.67,16.67,85.71,92.31,16.67,-7.14,0,38.46,5.56,-26.32,0,85.71,-3.85
03080,17,29,58,94,152,210,270,294,287,298,295,259,193,173,174,168,196,201,188,182,12.2,-34.58,-41.36,-41.02,-43.05,-33.56,-31.86,-27.41,-5.7,-12.2,-25.48,-10.36,0.58,-3.45,16.67,2.55,-6.47,-3.19
03081,324,411,437,631,767,785,867,894,928,958,957,974,599,505,455,450,442,451,521,521,-1.78,-37.41,-47.23,-52.46,-52.98,-53.81,-52.87,-46.51,-13.02,1.78,-38.5,-15.69,-9.9,-1.1,-1.78,2.04,15.52,0
03082,5283,6154,5353,6161,6833,7370,7767,8109,8323,8573,8737,8858,6176,5309,4966,4613,4545,4544,4616,4777,-1.38,-29.31,-39.24,-43.16,-47.2,-47.98,-47.99,-47.89,-22.65,1.38,-30.28,-14.04,-6.46,-7.11,-1.47,-0.02,1.58,3.49
03083,40,40,50,84,108,135,142,142,153,156,157,154,94,82,60,44,41,57,52,45,1.91,-40.13,-47.77,-61.78,-71.97,-73.89,-63.69,-66.23,-52.13,-1.91,-38.96,-12.77,-26.83,-26.67,-6.82,39.02,-8.77,-13.46
03084,0,1,9,13,16,33,35,36,40,47,48,47,29,24,23,19,18,18,20,18,2.08,-39.58,-50,-52.08,-60.42,-62.5,-62.5,-57.45,-37.93,-2.08,-38.3,-17.24,-4.17,-17.39,-5.26,0,11.11,-10
03085,138,222,265,341,366,401,451,463,470,479,496,501,499,509,509,404,466,376,285,293,-1.01,0.6,2.62,2.62,-18.55,-6.05,-24.19,-43.11,-41.28,1.01,-0.4,2,0,-20.63,15.35,-19.31,-24.2,2.81
03086,14,10,14,17,31,33,39,45,50,44,46,48,47,47,46,50,50,48,49,47,-4.35,2.17,2.17,0,8.7,8.7,4.35,2.08,0,4.35,-2.08,0,-2.13,8.7,0,-4,2.08,-4.08
03088,3,10,24,44,70,149,198,246,250,266,274,283,195,157,94,83,95,93,93,88,-3.28,-28.83,-42.7,-65.69,-69.71,-65.33,-66.06,-67.14,-54.87,3.28,-31.1,-19.49,-40.13,-11.7,14.46,-2.11,0,-5.38
03089,20,62,104,152,215,280,309,320,334,323,314,313,218,217,199,175,201,234,244,252,0.32,-30.57,-30.89,-36.62,-44.27,-35.99,-25.48,-22.04,15.6,-0.32,-30.35,-0.46,-8.29,-12.06,14.86,16.42,4.27,3.28
03090,129,168,192,312,386,493,512,542,561,581,587,365,453,405,408,368,338,343,303,288,37.82,-22.83,-31.01,-30.49,-37.31,-42.42,-41.57,-16.99,-36.42,-37.82,24.11,-10.6,0.74,-9.8,-8.15,1.48,-11.66,-4.95
03091,53,94,123,156,199,214,228,236,242,228,229,235,163,165,144,129,140,133,156,168,-2.62,-28.82,-27.95,-37.12,-43.67,-38.86,-41.92,-33.62,3.07,2.62,-30.64,1.23,-12.73,-10.42,8.53,-5,17.29,7.69
03092,14,24,40,66,87,109,135,154,127,131,119,117,111,109,107,95,96,92,92,93,1.68,-6.72,-8.4,-10.08,-20.17,-19.33,-22.69,-21.37,-16.22,-1.68,-5.13,-1.8,-1.83,-11.21,1.05,-4.17,0,1.09
