codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Resto de Europa,Total Africa,Total América,Total Asia,Oceanía y Apátridas,% Total Extranjeros,% Total Europa,% Total Unión Europea (27),% Resto de Europa,% Total Africa,% Total América,% Total Asia,% Oceanía y Apátridas
03119,20997,2509,1236,1093,143,134,1090,48,1,11.95,5.89,5.21,0.68,0.64,5.19,0.23,0
03120,7625,4794,4511,4234,277,131,125,26,1,62.87,59.16,55.53,3.63,1.72,1.64,0.34,0.01
03121,29221,6707,5444,4820,624,224,895,144,0,22.95,18.63,16.49,2.14,0.77,3.06,0.49,0
03122,49341,3096,1271,969,302,364,1300,160,1,6.27,2.58,1.96,0.61,0.74,2.63,0.32,0
03123,9716,787,584,554,30,13,178,12,0,8.1,6.01,5.7,0.31,0.13,1.83,0.12,0
03124,639,87,79,75,4,3,5,0,0,13.62,12.36,11.74,0.63,0.47,0.78,0,0
03125,658,264,186,183,3,69,9,0,0,40.12,28.27,27.81,0.46,10.49,1.37,0,0
03127,758,278,262,255,7,1,14,1,0,36.68,34.56,33.64,0.92,0.13,1.85,0.13,0
03128,13281,8400,7383,6988,395,270,661,84,2,63.25,55.59,52.62,2.97,2.03,4.98,0.63,0.02
03129,1625,280,267,262,5,2,9,2,0,17.23,16.43,16.12,0.31,0.12,0.55,0.12,0
03130,65,10,9,9,0,0,1,0,0,15.38,13.85,13.85,0,0,1.54,0,0
03131,339,142,135,130,5,5,2,0,0,41.89,39.82,38.35,1.47,1.47,0.59,0,0
03132,745,120,117,112,5,0,3,0,0,16.11,15.7,15.03,0.67,0,0.4,0,0
03133,94006,47779,35172,27498,7674,3414,8181,1004,8,50.83,37.41,29.25,8.16,3.63,8.7,1.07,0.01
03134,191,18,17,16,1,0,1,0,0,9.42,8.9,8.38,0.52,0,0.52,0,0
03135,297,28,26,24,2,0,2,0,0,9.43,8.75,8.08,0.67,0,0.67,0,0
03136,672,107,81,81,0,0,26,0,0,15.92,12.05,12.05,0,0,3.87,0,0
03137,937,138,124,119,5,10,4,0,0,14.73,13.23,12.7,0.53,1.07,0.43,0,0
03138,4688,992,637,593,44,175,166,14,0,21.16,13.59,12.65,0.94,3.73,3.54,0.3,0
03139,30550,5563,3915,3401,514,624,965,56,3,18.21,12.82,11.13,1.68,2.04,3.16,0.18,0.01
03140,34523,2590,683,606,77,525,1292,87,3,7.5,1.98,1.76,0.22,1.52,3.74,0.25,0.01
03901,3078,1886,1814,1547,267,9,53,10,0,61.27,58.93,50.26,8.67,0.29,1.72,0.32,0
03902,20338,9111,6836,6141,695,1079,1061,135,0,44.8,33.61,30.19,3.42,5.31,5.22,0.66,0
03903,4284,1374,1287,1210,77,36,44,7,0,32.07,30.04,28.24,1.8,0.84,1.03,0.16,0
03904,1561,107,70,69,1,11,26,0,0,6.85,4.48,4.42,0.06,0.7,1.67,0,0
