id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
80,03080,03080 Jacarilla,1607,631,1638,105,1686,153,1776,219,1813,266,1957,388,2088,527,2096,513,2100,498,2102,504,2076,488,2038,459,1947,360,1930,345,1939,347,1953,357,1986,392,2022,421
81,03081,03081 Xaló,2307,12988,2404,757,2400,751,2805,1106,2946,1264,3002,1307,3189,1489,3235,1525,3269,1565,3320,1628,3301,1623,3323,1629,2793,1116,2675,978,2648,919,2636,896,2683,912,2739,953
82,03082,03082 Jávea/Xàbia,26368,217,28493,15029,26649,13026,28242,14465,29279,15428,29923,15879,31140,16910,31593,17256,31909,17414,32469,17883,32983,18104,33149,18023,29067,13701,27681,12242,27225,11680,27060,11353,27224,11417,27604,11825
83,03083,03083 Jijona/Xixona,7353,10,7369,261,7400,316,7494,460,7596,565,7553,570,7575,627,7516,640,7407,562,7429,645,7423,655,7366,647,7226,536,7205,490,7057,418,6895,379,6875,368,6865,396
84,03084,"03084 Lorcha/Orxa, l'",750,237,735,11,735,25,721,32,743,40,751,56,748,57,749,59,715,61,754,68,729,67,710,61,676,42,650,37,627,35,606,31,596,31,578,30
85,03085,03085 Llíber,522,15,757,418,837,486,930,584,950,605,1001,657,1062,713,1057,712,1056,707,1070,726,1071,742,1091,767,1080,761,1099,777,1110,793,951,630,1051,729,935,616
86,03086,03086 Millena,189,231,178,11,175,15,178,17,186,32,187,35,195,44,201,51,209,59,215,55,217,57,215,58,210,57,224,57,221,55,230,59,229,58,237,57
87,03088,03088 Monforte del Cid,5545,280,5705,339,5864,424,6053,548,6157,612,6497,824,7006,1071,7366,1132,7606,1144,7771,1130,7803,1117,7807,1102,7658,972,7603,885,7500,749,7592,685,7944,819,8165,892
88,03089,03089 Monóvar/Monòver,12077,951,12369,547,12624,757,12727,936,12841,1073,12923,1181,13056,1279,13060,1317,12928,1270,12873,1234,12844,1241,12720,1147,12460,876,12381,850,12272,798,12177,716,12175,745,12167,791
89,03090,03090 Mutxamel,16198,85,16971,1182,17599,1300,18452,1658,19264,1903,20364,2152,21481,2340,22510,2580,23066,2748,23522,2858,23834,3025,23707,2444,24232,2719,24256,2607,24487,2654,24778,2620,25009,2667,25352,2896
90,03091,03091 Murla,368,147,446,137,482,178,515,218,562,264,574,284,601,313,612,327,629,332,609,317,598,313,604,318,509,225,516,228,486,203,477,186,493,207,470,195
91,03092,03092 Muro de Alcoy,7532,943,7652,204,7830,247,8148,356,8446,453,8611,487,8725,564,8893,652,8961,635,9005,678,9010,669,9062,725,9114,769,9167,848,9307,957,9319,985,9328,1056,9324,1096
92,03093,03093 Novelda,24885,5334,25399,1413,25653,1635,26233,1998,26335,1963,26525,2095,27008,2528,27135,2606,27104,2597,26873,2450,26692,2326,26517,2283,26292,2167,26146,2080,26054,1990,25868,1832,25725,1812,25651,1899
93,03094,"03094 Nucia, la",10135,530,11522,6028,10672,4500,12573,5504,14006,6154,15519,6725,16958,7252,17874,7673,18225,7854,18593,7875,19135,8066,19524,8279,20029,8460,20039,8417,19967,8241,18548,6627,18242,6221,18603,6289
94,03095,03095 Ondara,5751,96,5712,549,5749,606,5834,695,6004,802,6217,941,6457,1129,6546,1199,6570,1223,6644,1228,6657,1230,6613,1145,6632,1050,6617,985,6647,1000,6739,1010,6815,1000,6894,1078
95,03096,03096 Onil,6974,561,7144,243,7317,367,7500,476,7466,417,7622,530,7709,636,7771,664,7723,637,7753,689,7697,686,7544,510,7565,553,7548,510,7494,475,7493,479,7475,474,7507,523
